job_title,company,location,date,duration,level,describtion,link,CLICKABLE LINK
Team Leader Dot net Developer -Banha,Z2 Data -,"Banha, Qalubia, Egypt ",8/16/2022,Full Time,Team Leader Dot net Developer -Banha,Full TimeExperienced · 4 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · .Net · ASP.Net · C# · Computer Science · Information Technology (IT) · JavaScript · MVC,https://wuzzuf.net/jobs/p/8KsqKRP7NK9d-Team-Leader-Dot-net-Developer--Banha-Z2-Data-Qalubia-Egypt?o=174&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/5vZJpSC3Dzeh-Senior-Dot-Net-Developer---Banha-Z2-Data-Qalubia-Egypt?o=175&l=sp&t=sj&a=data analyst|search-v3|navbg
Senior Dot Net Developer - Banha,Z2 Data -,"Banha, Qalubia, Egypt ",8/16/2022,Full Time,Senior Dot Net Developer - Banha,Full TimeEntry Level · 1 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · MVC · SQL · .Net · ASP.Net · Computer Science · JavaScript,https://wuzzuf.net/jobs/p/5vZJpSC3Dzeh-Senior-Dot-Net-Developer---Banha-Z2-Data-Qalubia-Egypt?o=175&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/Zm20S7RPchIw-Financial-Planning-Analysis-Mozare3-Giza-Egypt?o=176&l=sp&t=sj&a=data analyst|search-v3|navbg
Financial Planning & Analysis,Mozare3 -,"Sheikh Zayed, Giza, Egypt ",8/16/2022,Full Time,Financial Planning & Analysis,Full TimeExperienced · 7+ Yrs of Exp · Accounting/Finance · Analyst/Research · Finance · Financial Management · Financial Reports · Financial Analysis · Accounting · Financial · Communication,https://wuzzuf.net/jobs/p/Zm20S7RPchIw-Financial-Planning-Analysis-Mozare3-Giza-Egypt?o=176&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/mrmWg0d2VpQY-Senior-NET-Developer-Z2-Data-Cairo-Egypt?o=177&l=sp&t=sj&a=data analyst|search-v3|navbg
Senior .NET Developer,Z2 Data -,"Nasr City, Cairo, Egypt ",8/16/2022,Full Time,Senior .NET Developer,Full TimeExperienced · 5 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · .Net · JavaScript · MVC · Software Development · SQL · ASP.Net · Computer Science,https://wuzzuf.net/jobs/p/mrmWg0d2VpQY-Senior-NET-Developer-Z2-Data-Cairo-Egypt?o=177&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/m5AhrTpfNB8B-Junior-Net-Developer-Z2-Data-Cairo-Egypt?o=178&l=sp&t=sj&a=data analyst|search-v3|navbg
Junior .Net Developer,Z2 Data -,"Nasr City, Cairo, Egypt ",8/16/2022,Full Time,Junior .Net Developer,Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · developer · NET · Software Development · .Net · ASP · ASP.Net · Computer Science,https://wuzzuf.net/jobs/p/m5AhrTpfNB8B-Junior-Net-Developer-Z2-Data-Cairo-Egypt?o=178&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/Z77t0yvIQ1z7-Medical-Research-Specialist-Sekem-Sharqia-Egypt?o=179&l=sp&t=sj&a=data analyst|search-v3|navbg
Medical Research Specialist,Sekem -,"Zagazig, Sharqia, Egypt ",8/16/2022,Full Time,Medical Research Specialist,Full TimeExperienced · 3 - 5 Yrs of Exp · Medical/Healthcare · Analyst/Research · Pharmaceutical · Communication · Creative · Research · Analysis · MEDICINE · Market Research · Medical,https://wuzzuf.net/jobs/p/Z77t0yvIQ1z7-Medical-Research-Specialist-Sekem-Sharqia-Egypt?o=179&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=14&l=sp&t=sj&a=data analyst|search-v3|navbg
Data Analyst,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt ",1/16/2022,Full Time,Data Analyst,Full TimeExperienced · 3 - 18 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau · SPSS,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=14&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/8YOY92FomUao-Business-Analyst-Cilantro-Cairo-Egypt?o=33&l=sp&t=sj&a=data analyst|search-v3|navbg
Business Analyst,Cilantro -,"Maadi, Cairo, Egypt ",1/16/2022,Full Time,Business Analyst,Full TimeExperienced · 10+ Yrs of Exp · Business Development · Analyst/Research · Business Analysis · Analysis · Data · Data Analytics · Microsoft Power BI · excel · English · Computer Science,https://wuzzuf.net/jobs/p/8YOY92FomUao-Business-Analyst-Cilantro-Cairo-Egypt?o=33&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/hsP8ln1roOo5-Sales-Operations-Analyst-Target-for-Chemicals-industry-and-trade-Alexandria-Egypt?o=41&l=sp&t=sj&a=data analyst|search-v3|navbg
Sales Operations Analyst,Target for Chemicals industry and trade -,"Bourj Alarab, Alexandria, Egypt ",1/16/2022,Full Time,Sales Operations Analyst,Full TimeExperienced · 3 - 5 Yrs of Exp · Administration · Operations/Management · Analyst/Research · Administration · Analyst · Operations · Database Systems · Sales · Sales Target,https://wuzzuf.net/jobs/p/hsP8ln1roOo5-Sales-Operations-Analyst-Target-for-Chemicals-industry-and-trade-Alexandria-Egypt?o=41&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/TQ24hQOL7LKM-Senior-Business-Analyst-United-Media-Services-Cairo-Egypt?o=49&l=sp&t=sj&a=data analyst|search-v3|navbg
Senior Business Analyst,United Media Services  -,"Heliopolis, Cairo, Egypt ",1/16/2022,Full Time,Senior Business Analyst,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Analyst/Research · Business Analysis · English · Quality Assurance · System Analysis · Analysis · Business Development,https://wuzzuf.net/jobs/p/TQ24hQOL7LKM-Senior-Business-Analyst-United-Media-Services-Cairo-Egypt?o=49&l=sp&t=sj&a=data analyst|search-v3|navbg,https://wuzzuf.net/jobs/p/G3ClSnfviwMN-Research-Analyst-El-Nour-trading-Giza-Egypt?o=52&l=sp&t=sj&a=data analyst|search-v3|navbg
